,place,lon,lat,cooling,fuel,state,f,c,idc
229,1689,-84.775,42.025,2,2,MI,Coal,ST-RC,0
230,1690,-97.125,33.225,2,5,TX,Oil,ST-RC,5
231,1696,-111.425,36.925,2,2,AZ,Coal,ST-RC,4
232,1698,-87.125,33.575,2,2,AL,Coal,ST-RC,5
233,1699,-81.275,39.375,2,2,WV,Coal,ST-RC,3
234,1700,-92.125,34.425,2,2,AR,Coal,ST-RC,5
235,1701,-118.325,34.175,2,5,CA,Oil,ST-RC,0
236,1702,-89.975,40.475,2,2,IL,Coal,ST-RC,3
237,1703,-88.275,38.925,2,2,IL,Coal,ST-RC,1
238,1704,-84.825,38.875,2,2,KY,Coal,ST-RC,1
239,1705,-84.225,38.875,2,2,OH,Coal,ST-RC,1
240,1706,-107.575,40.475,2,2,CO,Coal,ST-RC,0
241,1708,-101.125,47.275,2,2,ND,Coal,ST-RC,4
242,1709,-83.475,38.675,2,2,OH,Coal,ST-RC,1
243,1710,-82.475,42.775,1,2,MI,Coal,ST-OT,4
244,1711,-82.675,43.125,2,5,MI,Oil,ST-RC,0
245,1712,-83.825,38.725,2,2,KY,Coal,ST-RC,1
246,1713,-82.325,27.625,2,5,FL,Oil,ST-RC,2
247,1713,-82.325,27.625,5,3,FL,Gas,CC-RC,2
248,1714,-80.575,27.075,5,3,FL,Gas,CC-RC,2
249,1714,-80.575,27.075,2,5,FL,Oil,ST-RC,2
250,1715,-84.925,33.425,2,2,GA,Coal,ST-RC,5
251,1716,-91.375,30.725,2,2,LA,Coal,ST-RC,1
252,1716,-91.375,30.725,2,5,LA,Oil,ST-RC,1
253,1716,-91.375,30.725,1,2,LA,Coal,ST-OT,1
254,1717,-89.425,31.225,2,2,MS,Coal,ST-RC,5
255,1718,-94.675,39.175,1,2,KS,Coal,ST-OT,0
256,1719,-94.975,39.425,1,2,MO,Coal,ST-OT,0
257,1720,-96.125,39.175,2,2,KS,Coal,ST-RC,3
258,1721,-85.425,38.575,2,2,KY,Coal,ST-RC,1
259,1722,-88.625,30.525,2,2,MS,Coal,ST-RC,5
260,1722,-88.625,30.525,5,3,MS,Gas,CC-RC,5
261,1723,-106.625,46.275,2,2,MT,Coal,ST-RC,0
262,1724,-101.125,41.175,1,2,NE,Coal,ST-OT,1
263,1725,-72.475,42.175,5,3,MA,Gas,CC-RC,0
264,1727,-87.025,41.225,2,2,IN,Coal,ST-RC,3
265,1728,-104.125,47.675,1,2,MT,Coal,ST-OT,0
266,1729,-93.925,45.375,2,2,MN,Coal,ST-RC,4
267,1731,-80.425,40.625,2,2,PA,Coal,ST-RC,3
268,1732,-97.025,36.475,2,2,OK,Coal,ST-RC,1
269,1733,-95.775,40.625,1,2,NE,Coal,ST-OT,0
270,1733,-95.775,40.625,2,2,NE,Coal,ST-RC,0
271,1734,-96.475,45.325,2,2,SD,Coal,ST-RC,4
272,1735,-105.475,44.275,3,2,WY,Coal,ST-DC,1
273,1736,-119.775,45.675,2,2,OR,Coal,ST-RC,0
274,1737,-104.875,40.225,5,3,CO,Gas,CC-RC,4
275,1738,-87.825,38.375,2,2,IN,Coal,ST-RC,1
