years,place,lat,lon,cooling
,74097,34.675,-84.925,5
,74132,43.175,-95.275,2
,74134,37.225,-97.025,2
,74161,32.425,-94.675,5
,74166,33.875,-80.625,2
,74169,40.475,-78.775,2
,74182,31.925,-82.325,2
,74185,32.275,-81.275,5
,74205,34.625,-78.575,2
,74208,35.275,-119.475,5
,74237,48.775,-122.475,5
,74293,41.775,-71.475,5
,74298,40.175,-97.175,1
,74306,40.775,-124.175,2
,74307,40.125,-74.775,5
,74339,39.875,-79.925,5
,74349,41.975,-83.175,2
,74365,35.425,-93.775,5
,74408,42.275,-70.925,5
,74413,32.775,-96.475,5
,74417,41.525,-96.075,1
,74428,42.525,-73.775,5
,74466,47.075,-122.225,5
,74474,41.325,-83.125,5
,74475,43.825,-91.275,2
,74479,36.575,-120.125,5
,74486,38.625,-104.725,6
,74507,32.325,-86.525,5
,74509,42.675,-83.275,2
,74510,32.625,-85.075,5
,74573,43.075,-83.675,2
,74618,42.975,-115.275,5
,74630,33.125,-117.075,5
,74637,45.825,-120.825,6
,74674,32.025,-91.075,2
,74690,39.525,-80.075,2
,74695,44.575,-84.675,2
,74698,46.975,-123.475,5
,74708,41.575,-93.525,5
,74761,40.275,-120.275,2
,74763,37.675,-87.425,2
,74800,38.575,-82.775,5
,74816,33.475,-113.125,5
,74819,35.575,-78.975,2
,74825,32.375,-94.425,5
,74871,41.675,-87.425,2
,74886,43.425,-72.075,2
,74888,33.525,-90.225,2
,74906,47.425,-92.925,2
,74906,47.425,-92.925,2
,74912,34.575,-117.325,5
,74931,32.975,-85.875,5
,74936,45.075,-83.875,2
,74939,47.425,-97.025,2
,74984,39.475,-75.525,2
,74986,37.325,-77.275,2
,74993,34.375,-92.875,5
,75003,40.475,-122.275,2
,75004,40.675,-73.975,2
,75016,41.225,-76.075,4
,75023,44.925,-94.375,5
,75024,44.875,-94.325,5
,75061,44.725,-67.525,2
,75064,42.075,-78.475,5
,75065,43.475,-76.475,5
,75068,45.225,-68.625,2
,75069,42.975,-78.925,5
,75075,41.275,-73.975,1
,75088,33.725,-117.175,5
,75123,33.575,-101.775,5
,75123,33.575,-101.775,2
,75127,29.325,-98.325,2
,75131,33.125,-97.975,5
,75132,33.825,-84.475,5
,75143,42.275,-84.375,5
,75148,43.525,-76.375,2
,75155,32.325,-81.125,5
,75157,38.425,-86.925,2
,75164,37.375,-121.925,5
,75179,34.375,-82.825,5
,75180,40.775,-76.225,2
,75187,46.775,-88.475,2
,75189,44.275,-91.925,1
,75205,31.225,-85.125,2
,75258,34.975,-77.975,2
,75260,40.675,-74.275,5
,75292,48.625,-118.125,2
,75304,34.725,-95.925,5
,75325,36.575,-119.575,5
,75345,40.875,-75.975,2
,75378,41.325,-88.675,2
,75393,35.575,-89.475,5
,75426,38.125,-102.625,2
,75441,36.225,-115.125,5
,75494,40.175,-75.525,2
,75507,32.375,-86.725,5
,75538,43.175,-78.725,5
,75568,37.425,-121.975,5
,75585,42.625,-71.375,5
,75599,40.825,-75.075,5
,75616,32.275,-107.775,5
,75628,43.625,-75.325,2
,75632,46.725,-92.125,1
,75666,34.225,-118.325,5
,75668,34.825,-89.175,5
,75722,39.125,-93.225,2
,75722,39.125,-93.225,2
,75751,33.525,-92.775,1
